Removed Pin From Net: NetName=12V_W_U_Power_Control1 Pin=3_U_Power_Control1-2
Removed Pin From Net: NetName=12V_W_U_Power_Control1 Pin=3_U_Power_Control2-2
Added Pin To Net: NetName=OVCC_B55 Pin=DUT1_U_DUT_HEADER3-32
Added Pin To Net: NetName=OVCC_B56 Pin=DUT1_U_DUT_HEADER3-33
Added Pin To Net: NetName=OVCC_B57 Pin=DUT1_U_DUT_HEADER3-34
Added Pin To Net: NetName=OVCC_B58 Pin=DUT1_U_DUT_HEADER3-35
Added Pin To Net: NetName=OVCC_B59 Pin=DUT1_U_DUT_HEADER3-36
Added Pin To Net: NetName=OVCC_B60 Pin=DUT1_U_DUT_HEADER3-37
Added Pin To Net: NetName=OVCC_B61 Pin=DUT1_U_DUT_HEADER3-38
Added Pin To Net: NetName=OVCC_B62 Pin=DUT1_U_DUT_HEADER3-39
Added Pin To Net: NetName=OVCC_B63 Pin=DUT1_U_DUT_HEADER3-40
Added Pin To Net: NetName=OVCC_B0 Pin=DUT1_U_DUT_HEADER4-1
Added Pin To Net: NetName=OVCC_B1 Pin=DUT1_U_DUT_HEADER4-2
Added Pin To Net: NetName=OVCC_B2 Pin=DUT1_U_DUT_HEADER4-3
Added Pin To Net: NetName=OVCC_B3 Pin=DUT1_U_DUT_HEADER4-4
Added Pin To Net: NetName=OVCC_B4 Pin=DUT1_U_DUT_HEADER4-5
Added Pin To Net: NetName=OVCC_B5 Pin=DUT1_U_DUT_HEADER4-6
Added Pin To Net: NetName=OVCC_B6 Pin=DUT1_U_DUT_HEADER4-7
Added Pin To Net: NetName=OVCC_B7 Pin=DUT1_U_DUT_HEADER4-8
Added Pin To Net: NetName=OVCC_B8 Pin=DUT1_U_DUT_HEADER4-9
Added Pin To Net: NetName=OVCC_B9 Pin=DUT1_U_DUT_HEADER4-10
Added Pin To Net: NetName=OVCC_B10 Pin=DUT1_U_DUT_HEADER4-11
Added Pin To Net: NetName=OVCC_B11 Pin=DUT1_U_DUT_HEADER4-12
Added Pin To Net: NetName=OVCC_B12 Pin=DUT1_U_DUT_HEADER4-13
Added Pin To Net: NetName=OVCC_B13 Pin=DUT1_U_DUT_HEADER4-14
Added Pin To Net: NetName=OVCC_B14 Pin=DUT1_U_DUT_HEADER4-15
Added Pin To Net: NetName=OVCC_B15 Pin=DUT1_U_DUT_HEADER4-16
Added Pin To Net: NetName=FPGA_~CS1 Pin=DUT1_U_DUT_HEADER4-17
Added Pin To Net: NetName=FPGA_~OE Pin=DUT1_U_DUT_HEADER4-18
Added Pin To Net: NetName=FPGA_~WE1 Pin=DUT1_U_DUT_HEADER4-19
Added Pin To Net: NetName=GND Pin=DUT1_U_DUT_HEADER4-20
Added Pin To Net: NetName=GND Pin=DUT1_U_DUT_HEADER4-21
Added Pin To Net: NetName=EN Pin=DUT1_U_DUT_HEADER4-22
Added Pin To Net: NetName=COUNTER_CLR Pin=DUT1_U_DUT_HEADER4-23
Added Pin To Net: NetName=COUNTER_CLK0 Pin=DUT1_U_DUT_HEADER4-24
Added Pin To Net: NetName=OVCC_B16 Pin=DUT1_U_DUT_HEADER4-25
Added Pin To Net: NetName=OVCC_B17 Pin=DUT1_U_DUT_HEADER4-26
Added Pin To Net: NetName=OVCC_B18 Pin=DUT1_U_DUT_HEADER4-27
Added Pin To Net: NetName=OVCC_B19 Pin=DUT1_U_DUT_HEADER4-28
Added Pin To Net: NetName=OVCC_B20 Pin=DUT1_U_DUT_HEADER4-29
Added Pin To Net: NetName=OVCC_B21 Pin=DUT1_U_DUT_HEADER4-30
Added Pin To Net: NetName=OVCC_B22 Pin=DUT1_U_DUT_HEADER4-31
Added Pin To Net: NetName=OVCC_B23 Pin=DUT1_U_DUT_HEADER4-32
Added Pin To Net: NetName=OVCC_B24 Pin=DUT1_U_DUT_HEADER4-33
Added Pin To Net: NetName=OVCC_B25 Pin=DUT1_U_DUT_HEADER4-34
Added Pin To Net: NetName=OVCC_B26 Pin=DUT1_U_DUT_HEADER4-35
Added Pin To Net: NetName=OVCC_B27 Pin=DUT1_U_DUT_HEADER4-36
Added Pin To Net: NetName=OVCC_B28 Pin=DUT1_U_DUT_HEADER4-37
Added Pin To Net: NetName=OVCC_B29 Pin=DUT1_U_DUT_HEADER4-38
Added Pin To Net: NetName=OVCC_B30 Pin=DUT1_U_DUT_HEADER4-39
Added Pin To Net: NetName=OVCC_B31 Pin=DUT1_U_DUT_HEADER4-40
Change Net Name : Old Net Name=Net1_U_Power_Control1_2 New Net Name=Net1uF_2_U_Power_Control1_2
Change Net Name : Old Net Name=Net1_U_Power_Control2_2 New Net Name=Net1uF_2_U_Power_Control2_2
Change Net Name : Old Net Name=Net5_U_Power_Control1_2 New Net Name=Net1uF_3_U_Power_Control1_2
Change Net Name : Old Net Name=Net5_U_Power_Control2_2 New Net Name=Net1uF_3_U_Power_Control2_2
Change Net Name : Old Net Name=NetLM1_U_Power_Control1_1 New Net Name=Net1MOhm_U_Power_Control1_2
Change Net Name : Old Net Name=NetLM1_U_Power_Control2_1 New Net Name=Net1MOhm_U_Power_Control2_2
Change Net Name : Old Net Name=NetLM2_U_Power_Control1_1 New Net Name=Net5MOhm_U_Power_Control1_1
Change Net Name : Old Net Name=NetLM2_U_Power_Control2_1 New Net Name=Net5MOhm_U_Power_Control2_1
Added Member To Class: ClassName=U_Power_Control1 Member=Component 5MOhm_U_Power_Control1 (5MOhm) RNCS0603BKE10K0
Added Member To Class: ClassName=U_Power_Control2 Member=Component 5MOhm_U_Power_Control2 (5MOhm) RNCS0603BKE10K0
Added Member To Class: ClassName=U_Power_Control1 Member=Component 7MOhm_U_Power_Control1 (7MOhm) RNCS0603BKE10K0
Added Member To Class: ClassName=U_Power_Control2 Member=Component 7MOhm_U_Power_Control2 (7MOhm) RNCS0603BKE10K0
Added Member To Class: ClassName=U_Power_Control1 Member=Component D2_U_Power_Control1 (D2) Diode 1N4001
Added Member To Class: ClassName=U_DUT_HEADER1 Member=Component DUT1_U_DUT_HEADER1 (DUT1) ADAFRUIT_HEADER
Added Member To Class: ClassName=U_DUT_HEADER2 Member=Component DUT1_U_DUT_HEADER2 (DUT1) ADAFRUIT_HEADER
Added Member To Class: ClassName=U_DUT_HEADER3 Member=Component DUT1_U_DUT_HEADER3 (DUT1) ADAFRUIT_HEADER
Added Member To Class: ClassName=U_DUT_HEADER4 Member=Component DUT1_U_DUT_HEADER4 (DUT1) ADAFRUIT_HEADER
Added Member To Class: ClassName=BBB_Board Member=Component GND2 Header 10
Added Member To Class: ClassName=U_Power_Control1 Member=Component LM1_U_Power_Control1 (LM1) LM321MF/NOPB
Added Member To Class: ClassName=U_VT_WRP1 Member=Component LT2_U_VT_WRP1 (LT2) 8-Chanel Level Translator
