Removed Pin From Net: NetName=NetLM2_U_Power_Control2_1 Pin=5MOhm-1
Removed Pin From Net: NetName=12V_W_U_Power_Control1 Pin=5MOhm-2
Removed Pin From Net: NetName=GND Pin=7MOhm-1
Removed Pin From Net: NetName=NetLM2_U_Power_Control2_1 Pin=7MOhm-2
Removed Pin From Net: NetName=12V_W_U_Power_Control1 Pin=10uF-2
Change Component Designator: OldDesignator=AD5293 NewDesignator=POT_U_Power_Control2
Change Component Designator: OldDesignator=D1N4001 NewDesignator=D1_U_Power_Control1
Change Component Designator: OldDesignator=D1N4001 NewDesignator=D1_U_Power_Control2
Change Component Designator: OldDesignator=D1N4001 NewDesignator=D2_U_Power_Control1
Change Component Designator: OldDesignator=D1N4001 NewDesignator=D2_U_Power_Control2
Change Component Designator: OldDesignator=FPGA RESET NewDesignator=S1
Change Component Designator: OldDesignator=GND NewDesignator=GND1
Change Component Designator: OldDesignator=GND NewDesignator=GND2
Change Component Designator: OldDesignator=LM317 NewDesignator=VR1_U_Power_Control1
Change Component Designator: OldDesignator=LM317 NewDesignator=VR1_U_Power_Control2
Change Component Designator: OldDesignator=LM321 NewDesignator=LM1_U_Power_Control1
Change Component Designator: OldDesignator=LM321 NewDesignator=LM1_U_Power_Control2
Change Component Designator: OldDesignator=LM321 NewDesignator=LM2_U_Power_Control1
Change Component Designator: OldDesignator=LM321 NewDesignator=LM2_U_Power_Control2
Change Component Designator: OldDesignator=LOGIC HIGH NewDesignator=LOGIC_HIGH
Change Component Designator: OldDesignator=LOGIC LOW NewDesignator=LOGIC_LOW
Change Component Designator: OldDesignator=VT1 NewDesignator=LT1_U_VT_WRP8
Change Component Designator: OldDesignator=VT2 NewDesignator=LT2_U_VT_WRP8
Change Component Designator: OldDesignator=VT3 NewDesignator=LT2_U_VT_WRP2
Change Component Designator: OldDesignator=VT4 NewDesignator=LT1_U_VT_WRP2
Change Component Designator: OldDesignator=VT5 NewDesignator=LT1_U_VT_WRP6
Change Component Designator: OldDesignator=VT6 NewDesignator=LT2_U_VT_WRP6
Change Component Designator: OldDesignator=VT7 NewDesignator=LT2_U_VT_WRP4
Change Component Designator: OldDesignator=VT8 NewDesignator=LT1_U_VT_WRP4
Change Component Designator: OldDesignator=VT9 NewDesignator=LT1_U_VT_WRP7
Change Component Designator: OldDesignator=VT10 NewDesignator=LT2_U_VT_WRP7
Change Component Designator: OldDesignator=VT11 NewDesignator=LT1_U_VT_WRP1
Change Component Designator: OldDesignator=VT12 NewDesignator=LT2_U_VT_WRP1
Change Component Designator: OldDesignator=VT13 NewDesignator=LT1_U_VT_WRP5
Change Component Designator: OldDesignator=VT14 NewDesignator=LT2_U_VT_WRP5
Change Component Designator: OldDesignator=VT15 NewDesignator=LT1_U_VT_WRP3
Change Component Designator: OldDesignator=VT16 NewDesignator=LT2_U_VT_WRP3
Added Component: Designator=5MOhm_U_Power_Control1(0.1uF_0603)
Added Component: Designator=5MOhm_U_Power_Control2(0.1uF_0603)
Added Component: Designator=7MOhm_U_Power_Control1(0.1uF_0603)
Added Component: Designator=7MOhm_U_Power_Control2(0.1uF_0603)
Added Component: Designator=DUT1_U_DUT_HEADER1(FEMALE_HEADER_SMD)
Added Component: Designator=DUT1_U_DUT_HEADER2(FEMALE_HEADER_SMD)
Added Component: Designator=DUT1_U_DUT_HEADER3(FEMALE_HEADER_SMD)
Added Component: Designator=DUT1_U_DUT_HEADER4(FEMALE_HEADER_SMD)
Added Component: Designator=ETH1(FEMALE_HEADER_SMD)
Added Component: Designator=ETH2(FEMALE_HEADER_SMD)
Added Component: Designator=ETH3(FEMALE_HEADER_SMD)
Added Component: Designator=ETH4(FEMALE_HEADER_SMD)
Added Pin To Net: NetName=12V_W_U_Power_Control1 Pin=1uF_5_U_Power_Control1-2
Added Pin To Net: NetName=12V_W_U_Power_Control1 Pin=1uF_5_U_Power_Control2-2
Added Pin To Net: NetName=NetLM2_U_Power_Control1_1 Pin=5MOhm_U_Power_Control1-1
Added Pin To Net: NetName=12V_W_U_Power_Control1 Pin=5MOhm_U_Power_Control1-2
Added Pin To Net: NetName=NetLM2_U_Power_Control2_1 Pin=5MOhm_U_Power_Control2-1
Added Pin To Net: NetName=12V_W_U_Power_Control1 Pin=5MOhm_U_Power_Control2-2
Added Pin To Net: NetName=GND Pin=7MOhm_U_Power_Control1-1
Added Pin To Net: NetName=NetLM2_U_Power_Control1_1 Pin=7MOhm_U_Power_Control1-2
Added Pin To Net: NetName=GND Pin=7MOhm_U_Power_Control2-1
Added Pin To Net: NetName=NetLM2_U_Power_Control2_1 Pin=7MOhm_U_Power_Control2-2
Added Pin To Net: NetName=OVCC_B96 Pin=DUT1_U_DUT_HEADER1-1
Added Pin To Net: NetName=OVCC_B97 Pin=DUT1_U_DUT_HEADER1-2
Added Pin To Net: NetName=OVCC_B98 Pin=DUT1_U_DUT_HEADER1-3
Added Pin To Net: NetName=OVCC_B99 Pin=DUT1_U_DUT_HEADER1-4
Added Pin To Net: NetName=OVCC_B100 Pin=DUT1_U_DUT_HEADER1-5
Added Pin To Net: NetName=OVCC_B101 Pin=DUT1_U_DUT_HEADER1-6
Added Pin To Net: NetName=OVCC_B102 Pin=DUT1_U_DUT_HEADER1-7
Added Pin To Net: NetName=OVCC_B103 Pin=DUT1_U_DUT_HEADER1-8
Added Pin To Net: NetName=OVCC_B104 Pin=DUT1_U_DUT_HEADER1-9
Added Pin To Net: NetName=OVCC_B105 Pin=DUT1_U_DUT_HEADER1-10
Added Pin To Net: NetName=OVCC_B106 Pin=DUT1_U_DUT_HEADER1-11
Added Pin To Net: NetName=OVCC_B107 Pin=DUT1_U_DUT_HEADER1-12
Added Pin To Net: NetName=OVCC_B108 Pin=DUT1_U_DUT_HEADER1-13
Added Pin To Net: NetName=OVCC_B109 Pin=DUT1_U_DUT_HEADER1-14
Added Pin To Net: NetName=OVCC_B110 Pin=DUT1_U_DUT_HEADER1-15
Added Pin To Net: NetName=OVCC_B111 Pin=DUT1_U_DUT_HEADER1-16
Added Pin To Net: NetName=FPGA_~CS3 Pin=DUT1_U_DUT_HEADER1-17
Added Pin To Net: NetName=FPGA_~WE3 Pin=DUT1_U_DUT_HEADER1-18
Added Pin To Net: NetName=GND Pin=DUT1_U_DUT_HEADER1-19
Added Pin To Net: NetName=GND Pin=DUT1_U_DUT_HEADER1-20
Added Pin To Net: NetName=GND Pin=DUT1_U_DUT_HEADER1-21
Added Pin To Net: NetName=GND Pin=DUT1_U_DUT_HEADER1-22
Added Pin To Net: NetName=GND Pin=DUT1_U_DUT_HEADER1-23
Added Pin To Net: NetName=COUNTER_CLK3 Pin=DUT1_U_DUT_HEADER1-24
Added Pin To Net: NetName=OVCC_B112 Pin=DUT1_U_DUT_HEADER1-25
Added Pin To Net: NetName=OVCC_B113 Pin=DUT1_U_DUT_HEADER1-26
Added Pin To Net: NetName=OVCC_B114 Pin=DUT1_U_DUT_HEADER1-27
Added Pin To Net: NetName=OVCC_B115 Pin=DUT1_U_DUT_HEADER1-28
Added Pin To Net: NetName=OVCC_B116 Pin=DUT1_U_DUT_HEADER1-29
Added Pin To Net: NetName=OVCC_B117 Pin=DUT1_U_DUT_HEADER1-30
Added Pin To Net: NetName=OVCC_B118 Pin=DUT1_U_DUT_HEADER1-31
Added Pin To Net: NetName=OVCC_B119 Pin=DUT1_U_DUT_HEADER1-32
Added Pin To Net: NetName=OVCC_B120 Pin=DUT1_U_DUT_HEADER1-33
Added Pin To Net: NetName=OVCC_B121 Pin=DUT1_U_DUT_HEADER1-34
Added Pin To Net: NetName=OVCC_B122 Pin=DUT1_U_DUT_HEADER1-35
Added Pin To Net: NetName=OVCC_B123 Pin=DUT1_U_DUT_HEADER1-36
Added Pin To Net: NetName=OVCC_B124 Pin=DUT1_U_DUT_HEADER1-37
Added Pin To Net: NetName=OVCC_B125 Pin=DUT1_U_DUT_HEADER1-38
Added Pin To Net: NetName=OVCC_B126 Pin=DUT1_U_DUT_HEADER1-39
Added Pin To Net: NetName=OVCC_B127 Pin=DUT1_U_DUT_HEADER1-40
Added Pin To Net: NetName=OVCC_B64 Pin=DUT1_U_DUT_HEADER2-1
Added Pin To Net: NetName=OVCC_B65 Pin=DUT1_U_DUT_HEADER2-2
Added Pin To Net: NetName=OVCC_B66 Pin=DUT1_U_DUT_HEADER2-3
Added Pin To Net: NetName=OVCC_B67 Pin=DUT1_U_DUT_HEADER2-4
Added Pin To Net: NetName=OVCC_B68 Pin=DUT1_U_DUT_HEADER2-5
Added Pin To Net: NetName=OVCC_B69 Pin=DUT1_U_DUT_HEADER2-6
Added Pin To Net: NetName=OVCC_B70 Pin=DUT1_U_DUT_HEADER2-7
Added Pin To Net: NetName=OVCC_B71 Pin=DUT1_U_DUT_HEADER2-8
Added Pin To Net: NetName=OVCC_B72 Pin=DUT1_U_DUT_HEADER2-9
Added Pin To Net: NetName=OVCC_B73 Pin=DUT1_U_DUT_HEADER2-10
Added Pin To Net: NetName=OVCC_B74 Pin=DUT1_U_DUT_HEADER2-11
Added Pin To Net: NetName=OVCC_B75 Pin=DUT1_U_DUT_HEADER2-12
Added Pin To Net: NetName=OVCC_B76 Pin=DUT1_U_DUT_HEADER2-13
Added Pin To Net: NetName=OVCC_B77 Pin=DUT1_U_DUT_HEADER2-14
Added Pin To Net: NetName=OVCC_B78 Pin=DUT1_U_DUT_HEADER2-15
Added Pin To Net: NetName=OVCC_B79 Pin=DUT1_U_DUT_HEADER2-16
Added Pin To Net: NetName=FPGA_~CS2 Pin=DUT1_U_DUT_HEADER2-17
Added Pin To Net: NetName=FPGA_~WE2 Pin=DUT1_U_DUT_HEADER2-18
Added Pin To Net: NetName=GLOBAL_3V3 Pin=DUT1_U_DUT_HEADER2-19
Added Pin To Net: NetName=GND Pin=DUT1_U_DUT_HEADER2-20
Added Pin To Net: NetName=GND Pin=DUT1_U_DUT_HEADER2-21
Added Pin To Net: NetName=GND Pin=DUT1_U_DUT_HEADER2-22
Added Pin To Net: NetName=GLOBAL_HIGH_POWER Pin=DUT1_U_DUT_HEADER2-23
Added Pin To Net: NetName=COUNTER_CLK2 Pin=DUT1_U_DUT_HEADER2-24
Added Pin To Net: NetName=OVCC_B80 Pin=DUT1_U_DUT_HEADER2-25
Added Pin To Net: NetName=OVCC_B81 Pin=DUT1_U_DUT_HEADER2-26
Added Pin To Net: NetName=OVCC_B82 Pin=DUT1_U_DUT_HEADER2-27
Added Pin To Net: NetName=OVCC_B83 Pin=DUT1_U_DUT_HEADER2-28
Added Pin To Net: NetName=OVCC_B84 Pin=DUT1_U_DUT_HEADER2-29
Added Pin To Net: NetName=OVCC_B85 Pin=DUT1_U_DUT_HEADER2-30
Added Pin To Net: NetName=OVCC_B86 Pin=DUT1_U_DUT_HEADER2-31
Added Pin To Net: NetName=OVCC_B87 Pin=DUT1_U_DUT_HEADER2-32
Added Pin To Net: NetName=OVCC_B88 Pin=DUT1_U_DUT_HEADER2-33
Added Pin To Net: NetName=OVCC_B89 Pin=DUT1_U_DUT_HEADER2-34
Added Pin To Net: NetName=OVCC_B90 Pin=DUT1_U_DUT_HEADER2-35
Added Pin To Net: NetName=OVCC_B91 Pin=DUT1_U_DUT_HEADER2-36
Added Pin To Net: NetName=OVCC_B92 Pin=DUT1_U_DUT_HEADER2-37
Added Pin To Net: NetName=OVCC_B93 Pin=DUT1_U_DUT_HEADER2-38
Added Pin To Net: NetName=OVCC_B94 Pin=DUT1_U_DUT_HEADER2-39
Added Pin To Net: NetName=OVCC_B95 Pin=DUT1_U_DUT_HEADER2-40
Added Pin To Net: NetName=OVCC_B32 Pin=DUT1_U_DUT_HEADER3-1
Added Pin To Net: NetName=OVCC_B33 Pin=DUT1_U_DUT_HEADER3-2
Added Pin To Net: NetName=OVCC_B34 Pin=DUT1_U_DUT_HEADER3-3
Added Pin To Net: NetName=OVCC_B35 Pin=DUT1_U_DUT_HEADER3-4
Added Pin To Net: NetName=OVCC_B36 Pin=DUT1_U_DUT_HEADER3-5
Added Pin To Net: NetName=OVCC_B37 Pin=DUT1_U_DUT_HEADER3-6
Added Pin To Net: NetName=OVCC_B38 Pin=DUT1_U_DUT_HEADER3-7
Added Pin To Net: NetName=OVCC_B39 Pin=DUT1_U_DUT_HEADER3-8
Added Pin To Net: NetName=OVCC_B40 Pin=DUT1_U_DUT_HEADER3-9
Added Pin To Net: NetName=OVCC_B41 Pin=DUT1_U_DUT_HEADER3-10
Added Pin To Net: NetName=OVCC_B42 Pin=DUT1_U_DUT_HEADER3-11
Added Pin To Net: NetName=OVCC_B43 Pin=DUT1_U_DUT_HEADER3-12
Added Pin To Net: NetName=OVCC_B44 Pin=DUT1_U_DUT_HEADER3-13
Added Pin To Net: NetName=OVCC_B45 Pin=DUT1_U_DUT_HEADER3-14
Added Pin To Net: NetName=OVCC_B46 Pin=DUT1_U_DUT_HEADER3-15
Added Pin To Net: NetName=OVCC_B47 Pin=DUT1_U_DUT_HEADER3-16
Added Pin To Net: NetName=FPGA_~CS4 Pin=DUT1_U_DUT_HEADER3-17
Added Pin To Net: NetName=FPGA_~WE4 Pin=DUT1_U_DUT_HEADER3-18
Added Pin To Net: NetName=FPGA_~MR Pin=DUT1_U_DUT_HEADER3-19
Added Pin To Net: NetName=FPGA_Q Pin=DUT1_U_DUT_HEADER3-20
Added Pin To Net: NetName=FPGA_~PL Pin=DUT1_U_DUT_HEADER3-21
Added Pin To Net: NetName=FPGA_SHCP Pin=DUT1_U_DUT_HEADER3-22
Added Pin To Net: NetName=FPGA_STCP Pin=DUT1_U_DUT_HEADER3-23
Added Pin To Net: NetName=COUNTER_CLK1 Pin=DUT1_U_DUT_HEADER3-24
Added Pin To Net: NetName=OVCC_B48 Pin=DUT1_U_DUT_HEADER3-25
Added Pin To Net: NetName=OVCC_B49 Pin=DUT1_U_DUT_HEADER3-26
Added Pin To Net: NetName=OVCC_B50 Pin=DUT1_U_DUT_HEADER3-27
Added Pin To Net: NetName=OVCC_B51 Pin=DUT1_U_DUT_HEADER3-28
Added Pin To Net: NetName=OVCC_B52 Pin=DUT1_U_DUT_HEADER3-29
Added Pin To Net: NetName=OVCC_B53 Pin=DUT1_U_DUT_HEADER3-30
Added Pin To Net: NetName=OVCC_B54 Pin=DUT1_U_DUT_HEADER3-31
Added Pin To Net: NetName=OVCC_B55 Pin=DUT1_U_DUT_HEADER3-32
Added Pin To Net: NetName=OVCC_B56 Pin=DUT1_U_DUT_HEADER3-33
Added Pin To Net: NetName=OVCC_B57 Pin=DUT1_U_DUT_HEADER3-34
Added Pin To Net: NetName=OVCC_B58 Pin=DUT1_U_DUT_HEADER3-35
Added Pin To Net: NetName=OVCC_B59 Pin=DUT1_U_DUT_HEADER3-36
Added Pin To Net: NetName=OVCC_B60 Pin=DUT1_U_DUT_HEADER3-37
Added Pin To Net: NetName=OVCC_B61 Pin=DUT1_U_DUT_HEADER3-38
Added Pin To Net: NetName=OVCC_B62 Pin=DUT1_U_DUT_HEADER3-39
Added Pin To Net: NetName=OVCC_B63 Pin=DUT1_U_DUT_HEADER3-40
Added Pin To Net: NetName=OVCC_B0 Pin=DUT1_U_DUT_HEADER4-1
Added Pin To Net: NetName=OVCC_B1 Pin=DUT1_U_DUT_HEADER4-2
Added Pin To Net: NetName=OVCC_B2 Pin=DUT1_U_DUT_HEADER4-3
Added Pin To Net: NetName=OVCC_B3 Pin=DUT1_U_DUT_HEADER4-4
Added Pin To Net: NetName=OVCC_B4 Pin=DUT1_U_DUT_HEADER4-5
Added Pin To Net: NetName=OVCC_B5 Pin=DUT1_U_DUT_HEADER4-6
Added Pin To Net: NetName=OVCC_B6 Pin=DUT1_U_DUT_HEADER4-7
Added Pin To Net: NetName=OVCC_B7 Pin=DUT1_U_DUT_HEADER4-8
Added Pin To Net: NetName=OVCC_B8 Pin=DUT1_U_DUT_HEADER4-9
Added Pin To Net: NetName=OVCC_B9 Pin=DUT1_U_DUT_HEADER4-10
Added Pin To Net: NetName=OVCC_B10 Pin=DUT1_U_DUT_HEADER4-11
Added Pin To Net: NetName=OVCC_B11 Pin=DUT1_U_DUT_HEADER4-12
Added Pin To Net: NetName=OVCC_B12 Pin=DUT1_U_DUT_HEADER4-13
Added Pin To Net: NetName=OVCC_B13 Pin=DUT1_U_DUT_HEADER4-14
Added Pin To Net: NetName=OVCC_B14 Pin=DUT1_U_DUT_HEADER4-15
Added Pin To Net: NetName=OVCC_B15 Pin=DUT1_U_DUT_HEADER4-16
Added Pin To Net: NetName=FPGA_~CS1 Pin=DUT1_U_DUT_HEADER4-17
Added Pin To Net: NetName=FPGA_~OE Pin=DUT1_U_DUT_HEADER4-18
Added Pin To Net: NetName=FPGA_~WE1 Pin=DUT1_U_DUT_HEADER4-19
Added Pin To Net: NetName=GND Pin=DUT1_U_DUT_HEADER4-20
Added Pin To Net: NetName=GND Pin=DUT1_U_DUT_HEADER4-21
Added Pin To Net: NetName=EN Pin=DUT1_U_DUT_HEADER4-22
Added Pin To Net: NetName=COUNTER_CLR Pin=DUT1_U_DUT_HEADER4-23
Added Pin To Net: NetName=COUNTER_CLK0 Pin=DUT1_U_DUT_HEADER4-24
Added Pin To Net: NetName=OVCC_B16 Pin=DUT1_U_DUT_HEADER4-25
Added Pin To Net: NetName=OVCC_B17 Pin=DUT1_U_DUT_HEADER4-26
Added Pin To Net: NetName=OVCC_B18 Pin=DUT1_U_DUT_HEADER4-27
Added Pin To Net: NetName=OVCC_B19 Pin=DUT1_U_DUT_HEADER4-28
Added Pin To Net: NetName=OVCC_B20 Pin=DUT1_U_DUT_HEADER4-29
Added Pin To Net: NetName=OVCC_B21 Pin=DUT1_U_DUT_HEADER4-30
Added Pin To Net: NetName=OVCC_B22 Pin=DUT1_U_DUT_HEADER4-31
Added Pin To Net: NetName=OVCC_B23 Pin=DUT1_U_DUT_HEADER4-32
Added Pin To Net: NetName=OVCC_B24 Pin=DUT1_U_DUT_HEADER4-33
Added Pin To Net: NetName=OVCC_B25 Pin=DUT1_U_DUT_HEADER4-34
Added Pin To Net: NetName=OVCC_B26 Pin=DUT1_U_DUT_HEADER4-35
Added Pin To Net: NetName=OVCC_B27 Pin=DUT1_U_DUT_HEADER4-36
Added Pin To Net: NetName=OVCC_B28 Pin=DUT1_U_DUT_HEADER4-37
Added Pin To Net: NetName=OVCC_B29 Pin=DUT1_U_DUT_HEADER4-38
Added Pin To Net: NetName=OVCC_B30 Pin=DUT1_U_DUT_HEADER4-39
Added Pin To Net: NetName=OVCC_B31 Pin=DUT1_U_DUT_HEADER4-40
Added Pin To Net: NetName=IVL_B0 Pin=ETH1-1
Added Pin To Net: NetName=IVL_B1 Pin=ETH1-2
Added Pin To Net: NetName=IVL_B2 Pin=ETH1-3
Added Pin To Net: NetName=IVL_B3 Pin=ETH1-4
Added Pin To Net: NetName=IVL_B4 Pin=ETH1-5
Added Pin To Net: NetName=IVL_B5 Pin=ETH1-6
Added Pin To Net: NetName=IVL_B6 Pin=ETH1-7
Added Pin To Net: NetName=IVL_B7 Pin=ETH1-8
Added Pin To Net: NetName=IVL_B8 Pin=ETH1-9
Added Pin To Net: NetName=IVL_B9 Pin=ETH1-10
Added Pin To Net: NetName=IVL_B10 Pin=ETH1-11
Added Pin To Net: NetName=IVL_B11 Pin=ETH1-12
Added Pin To Net: NetName=IVL_B12 Pin=ETH1-13
Added Pin To Net: NetName=IVL_B13 Pin=ETH1-14
Added Pin To Net: NetName=IVL_B14 Pin=ETH1-15
Added Pin To Net: NetName=IVL_B15 Pin=ETH1-16
Added Pin To Net: NetName=IVL_B16 Pin=ETH1-17
Added Pin To Net: NetName=IVL_B17 Pin=ETH1-18
Added Pin To Net: NetName=IVL_B18 Pin=ETH1-19
Added Pin To Net: NetName=IVL_B19 Pin=ETH1-20
Added Pin To Net: NetName=IVL_B20 Pin=ETH1-21
Added Pin To Net: NetName=IVL_B21 Pin=ETH1-22
Added Pin To Net: NetName=IVL_B22 Pin=ETH1-23
Added Pin To Net: NetName=IVL_B23 Pin=ETH1-24
Added Pin To Net: NetName=IVL_B24 Pin=ETH1-25
Added Pin To Net: NetName=IVL_B25 Pin=ETH1-26
Added Pin To Net: NetName=IVL_B26 Pin=ETH1-27
Added Pin To Net: NetName=IVL_B27 Pin=ETH1-28
Added Pin To Net: NetName=IVL_B28 Pin=ETH1-29
Added Pin To Net: NetName=IVL_B29 Pin=ETH1-30
Added Pin To Net: NetName=IVL_B30 Pin=ETH1-31
Added Pin To Net: NetName=IVL_B31 Pin=ETH1-32
Added Pin To Net: NetName=IVL_B32 Pin=ETH1-33
Added Pin To Net: NetName=IVL_B33 Pin=ETH1-34
Added Pin To Net: NetName=IVL_B34 Pin=ETH1-35
Added Pin To Net: NetName=IVL_B35 Pin=ETH1-36
Added Pin To Net: NetName=IVL_B36 Pin=ETH1-37
Added Pin To Net: NetName=IVL_B37 Pin=ETH1-38
Added Pin To Net: NetName=IVL_B38 Pin=ETH1-39
Added Pin To Net: NetName=IVL_B39 Pin=ETH1-40
Added Pin To Net: NetName=IVL_B40 Pin=ETH2-1
Added Pin To Net: NetName=IVL_B41 Pin=ETH2-2
Added Pin To Net: NetName=IVL_B42 Pin=ETH2-3
Added Pin To Net: NetName=IVL_B43 Pin=ETH2-4
Added Pin To Net: NetName=IVL_B44 Pin=ETH2-5
Added Pin To Net: NetName=IVL_B45 Pin=ETH2-6
Added Pin To Net: NetName=IVL_B46 Pin=ETH2-7
Added Pin To Net: NetName=IVL_B47 Pin=ETH2-8
Added Pin To Net: NetName=IVL_B48 Pin=ETH2-9
Added Pin To Net: NetName=IVL_B49 Pin=ETH2-10
Added Pin To Net: NetName=IVL_B50 Pin=ETH2-11
Added Pin To Net: NetName=IVL_B51 Pin=ETH2-12
Added Pin To Net: NetName=IVL_B52 Pin=ETH2-13
Added Pin To Net: NetName=IVL_B53 Pin=ETH2-14
Added Pin To Net: NetName=IVL_B54 Pin=ETH2-15
Added Pin To Net: NetName=IVL_B55 Pin=ETH2-16
Added Pin To Net: NetName=IVL_B56 Pin=ETH2-17
Added Pin To Net: NetName=IVL_B57 Pin=ETH2-18
Added Pin To Net: NetName=IVL_B58 Pin=ETH2-19
Added Pin To Net: NetName=IVL_B59 Pin=ETH2-20
Added Pin To Net: NetName=IVL_B60 Pin=ETH2-21
Added Pin To Net: NetName=IVL_B61 Pin=ETH2-22
Added Pin To Net: NetName=IVL_B62 Pin=ETH2-23
Added Pin To Net: NetName=IVL_B63 Pin=ETH2-24
Added Pin To Net: NetName=IVL_B64 Pin=ETH2-25
Added Pin To Net: NetName=IVL_B65 Pin=ETH2-26
Added Pin To Net: NetName=IVL_B66 Pin=ETH2-27
Added Pin To Net: NetName=IVL_B67 Pin=ETH2-28
Added Pin To Net: NetName=IVL_B68 Pin=ETH2-29
Added Pin To Net: NetName=IVL_B69 Pin=ETH2-30
Added Pin To Net: NetName=IVL_B70 Pin=ETH2-31
Added Pin To Net: NetName=IVL_B71 Pin=ETH2-32
Added Pin To Net: NetName=IVL_B72 Pin=ETH2-33
Added Pin To Net: NetName=IVL_B73 Pin=ETH2-34
Added Pin To Net: NetName=IVL_B74 Pin=ETH2-35
Added Pin To Net: NetName=IVL_B75 Pin=ETH2-36
Added Pin To Net: NetName=IVL_B76 Pin=ETH2-37
Added Pin To Net: NetName=IVL_B77 Pin=ETH2-38
Added Pin To Net: NetName=IVL_B78 Pin=ETH2-39
Added Pin To Net: NetName=IVL_B79 Pin=ETH2-40
Added Pin To Net: NetName=IVL_B80 Pin=ETH3-1
Added Pin To Net: NetName=IVL_B81 Pin=ETH3-2
Added Pin To Net: NetName=IVL_B82 Pin=ETH3-3
Added Pin To Net: NetName=IVL_B83 Pin=ETH3-4
Added Pin To Net: NetName=IVL_B84 Pin=ETH3-5
Added Pin To Net: NetName=IVL_B85 Pin=ETH3-6
Added Pin To Net: NetName=IVL_B86 Pin=ETH3-7
Added Pin To Net: NetName=IVL_B87 Pin=ETH3-8
Added Pin To Net: NetName=IVL_B88 Pin=ETH3-9
Added Pin To Net: NetName=IVL_B89 Pin=ETH3-10
Added Pin To Net: NetName=IVL_B90 Pin=ETH3-11
Added Pin To Net: NetName=IVL_B91 Pin=ETH3-12
Added Pin To Net: NetName=IVL_B92 Pin=ETH3-13
Added Pin To Net: NetName=IVL_B93 Pin=ETH3-14
Added Pin To Net: NetName=IVL_B94 Pin=ETH3-15
Added Pin To Net: NetName=IVL_B95 Pin=ETH3-16
Added Pin To Net: NetName=GND Pin=ETH3-17
Added Pin To Net: NetName=GND Pin=ETH3-18
Added Pin To Net: NetName=GND Pin=ETH3-19
Added Pin To Net: NetName=GND Pin=ETH3-20
Added Pin To Net: NetName=GND Pin=ETH3-21
Added Pin To Net: NetName=GND Pin=ETH3-22
Added Pin To Net: NetName=GND Pin=ETH3-23
Added Pin To Net: NetName=GND Pin=ETH3-24
Added Pin To Net: NetName=IVL_B96 Pin=ETH3-25
Added Pin To Net: NetName=IVL_B97 Pin=ETH3-26
Added Pin To Net: NetName=IVL_B98 Pin=ETH3-27
Added Pin To Net: NetName=IVL_B99 Pin=ETH3-28
Added Pin To Net: NetName=IVL_B100 Pin=ETH3-29
Added Pin To Net: NetName=IVL_B101 Pin=ETH3-30
Added Pin To Net: NetName=IVL_B102 Pin=ETH3-31
Added Pin To Net: NetName=IVL_B103 Pin=ETH3-32
Added Pin To Net: NetName=IVL_B104 Pin=ETH3-33
Added Pin To Net: NetName=IVL_B105 Pin=ETH3-34
Added Pin To Net: NetName=IVL_B106 Pin=ETH3-35
Added Pin To Net: NetName=IVL_B107 Pin=ETH3-36
Added Pin To Net: NetName=IVL_B108 Pin=ETH3-37
Added Pin To Net: NetName=IVL_B109 Pin=ETH3-38
Added Pin To Net: NetName=IVL_B110 Pin=ETH3-39
Added Pin To Net: NetName=IVL_B111 Pin=ETH3-40
Added Pin To Net: NetName=IVL_B112 Pin=ETH4-1
Added Pin To Net: NetName=IVL_B113 Pin=ETH4-2
Added Pin To Net: NetName=IVL_B114 Pin=ETH4-3
Added Pin To Net: NetName=IVL_B115 Pin=ETH4-4
Added Pin To Net: NetName=IVL_B116 Pin=ETH4-5
Added Pin To Net: NetName=IVL_B117 Pin=ETH4-6
Added Pin To Net: NetName=IVL_B118 Pin=ETH4-7
Added Pin To Net: NetName=IVL_B119 Pin=ETH4-8
Added Pin To Net: NetName=IVL_B120 Pin=ETH4-9
Added Pin To Net: NetName=IVL_B121 Pin=ETH4-10
Added Pin To Net: NetName=GND Pin=ETH4-11
Added Pin To Net: NetName=IVL_B122 Pin=ETH4-12
Added Pin To Net: NetName=IVL_B123 Pin=ETH4-13
Added Pin To Net: NetName=IVL_B124 Pin=ETH4-14
Added Pin To Net: NetName=IVL_B125 Pin=ETH4-15
Added Pin To Net: NetName=FPGA_RX Pin=ETH4-16
Added Pin To Net: NetName=FPGA_TX Pin=ETH4-17
Added Pin To Net: NetName=FPGA_Q Pin=ETH4-18
Added Pin To Net: NetName=OTHER_W21 Pin=ETH4-19
Added Pin To Net: NetName=OTHER_W20 Pin=ETH4-20
Added Pin To Net: NetName=COUNTER_CLK3 Pin=ETH4-21
Added Pin To Net: NetName=COUNTER_CLK2 Pin=ETH4-22
Added Pin To Net: NetName=FPGA_~WE3 Pin=ETH4-23
Added Pin To Net: NetName=FPGA_~CS3 Pin=ETH4-24
Added Pin To Net: NetName=COUNTER_CLK1 Pin=ETH4-25
Added Pin To Net: NetName=FPGA_~WE2 Pin=ETH4-26
Added Pin To Net: NetName=FPGA_~CS2 Pin=ETH4-27
Added Pin To Net: NetName=FPGA_STCP Pin=ETH4-28
Added Pin To Net: NetName=FPGA_SHCP Pin=ETH4-29
Added Pin To Net: NetName=GND Pin=ETH4-30
